,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_evening,normalized_score,sentiment,sector
33,NVDA,-7261658.638222943,-0.003941828713436497,0.04558920301686369,-0.03155626974438652,21951082.0,-0.3308109658659625,BEARISH,Semiconductor
52,TSM,-688500.977543927,-0.8297737757795323,0.026810966919866595,-0.30374945073784987,1984196.0,-0.34699242289770116,BEARISH,Semiconductor
2,ADBE,-113988.36279489523,0.16354887457989173,0.018748674489287267,0.678724582035255,301351.0,-0.37825778840918145,BEARISH,Software
51,TSLA,-3625879.639624672,0.5191935684096822,0.09637116270456253,-0.019323607274455024,8359904.0,-0.43372264078925693,BEARISH,EV
38,RBLX,-180924.1483717218,-0.44963091516439047,0.011815083808521238,-0.17850712401451244,415263.0,-0.43568569405827584,BEARISH,Software
59,XLE,-1057309.3245345072,0.08056367848836318,0.1163122406210127,-0.15917903791991586,2410174.0,-0.4386858892903613,BEARISH,Energy
12,DIS,-389018.3138263814,0.05509456951862675,0.03321741210615924,1.8308859863799114,868946.0,-0.4476898608502501,BEARISH,Entertainment
23,MARA,-854757.0964022247,0.5793721415256237,0.0876785812224244,0.41361528672067555,1773920.0,-0.4818464735739068,BEARISH,Crypto
15,GOOGL,-1765129.68919121,0.02280993940385752,0.034405057929972435,-0.05716346682728691,3111040.0,-0.5673760829790714,BEARISH,Technology
11,DIA,-240740.563504121,0.058927795680849576,0.010862390812547277,-0.23841608471135625,376435.0,-0.6395275771490988,BEARISH,Index
31,NOW,-74485.21536808024,0.9232963930999502,0.024857615395072488,-0.591012706798496,108261.0,-0.6880152166346167,BEARISH,Software
19,IWM,-8738739.168637728,-1.0922628356383877,0.02752158741522236,0.03692680645009802,11828117.0,-0.7388106804014306,BEARISH,Index
40,RIOT,-938398.8403359108,-2.0470374342236073,0.03152738187427363,1.8506649958486567,1228739.0,-0.7637088432416573,BEARISH,Crypto
17,GS,-243580.14554748894,-0.8874167211884783,0.014570281364144535,-0.6742599780877571,279210.0,-0.8723904786629739,BEARISH,Financials
21,JPM,-720731.7541513263,-0.26971292964687743,0.019014519444239177,-0.7356405953199161,792611.0,-0.909313338007328,BEARISH,Financials
5,BAC,-3147111.514244148,-1.1287051590192538,0.04987744634491606,0.045681900951377426,2959548.0,-1.0633757297547288,BEARISH,Financials
3,AMD,-3873847.0150958784,-0.200265395516877,0.03002607636094158,0.669004646005658,3592082.0,-1.0784405854587613,BEARISH,Semiconductor
49,TNA,-397552.6069480679,-0.618681014209109,0.013922629947749449,4.278847000898176,307428.0,-1.2931567942674964,BEARISH,Leveraged Index
4,AMZN,-6170325.924215425,-2.039992006722612,0.023279369368161607,-0.323772499838586,4169091.0,-1.4800170886688309,BEARISH,Other
25,META,-3603195.4376471867,-0.22020652849158065,0.006133014668005853,0.1069516926805015,2095654.0,-1.7193656193470805,BEARISH,Technology
35,PLTR,-5681797.636321172,-0.8593662251026924,0.06772719238027602,1.1197557962433264,3222317.0,-1.7632646435224009,BEARISH,Software
41,ROKU,-388360.053514271,-2.714353479309989,0.02862457465555582,-0.10071673818131259,214130.0,-1.8136648461881613,BEARISH,Technology
37,QQQ,-15912486.608047267,-1.073392591932123,0.014973142891629978,-0.7781390496683339,8608207.0,-1.84852508867959,BEARISH,Index
27,MSFT,-4295740.824983731,-1.8064801079509065,0.025640971865552538,-0.2490669951369038,2164611.0,-1.9845324748805817,BEARISH,Technology
46,SPY,-35132298.814167485,-1.9208537541618218,0.012136372711884311,-0.8881313595028767,16227992.0,-2.1649196532859696,BEARISH,Index
6,CAVA,-371651.9387609811,-2.8401984693068103,0.01525004293944174,3.40209016694722,162606.0,-2.285597940795426,BEARISH,Restaurant
1,ACHR,-1289737.17299693,-4.63660052874976,0.15863480586682335,-1.809554416604005,492989.0,-2.6161581150835618,BEARISH,eVTOL
39,RDDT,-1108897.1161757072,-0.8161502763228576,0.025190711483803845,-2.240660716108095,396732.0,-2.7950785824579496,BEARISH,Social Media
50,TQQQ,-3086718.8608380794,-2.1788907697883166,-0.0002490737108914412,0.19869850831702962,1066816.0,-2.893393856895734,BEARISH,Leveraged Index
0,AAPL,-20642086.30874008,-2.4025115536662693,0.06531600631068915,-0.17728769787594437,4821798.0,-4.280993585533878,BEARISH,Technology
