,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_previous,normalized_score,sentiment,trading_date,prev_trading_date
211,T,353363.0681522827,-0.1762451648693745,0.019677422165122267,-0.610518016923528,1218078.0,2900.988837761479,BULLISH,2025-05-23,2025-05-22
218,TMUS,50789.1405619441,1.5352435611600694,0.0007002968707878317,-0.1412765853149918,185955.0,2731.259743590874,BULLISH,2025-05-23,2025-05-22
168,PLTR,821742.5451919677,-1.0349193368113658,0.008383174758660983,-1.6782272313216213,3059317.0,2686.032683739435,BULLISH,2025-05-23,2025-05-22
255,XLV,92848.51024891701,2.281600799463695,0.03317796100859751,5.113625828782409,438787.0,2116.026916223977,BULLISH,2025-05-23,2025-05-22
239,VZ,195232.7125075167,-1.7842836325281337,0.016902229545608865,1.3986313939694706,1007803.0,1937.2110671184416,BULLISH,2025-05-23,2025-05-22
188,SBUX,111171.8829393026,1.435457165438164,0.031226039603035,-1.2884256889487788,597615.0,1860.2592461585236,BULLISH,2025-05-23,2025-05-22
12,AMGN,24558.05167015122,-0.017814495874928876,0.004743199634936032,-1.2965001600473307,141726.0,1732.7837990313155,BULLISH,2025-05-23,2025-05-22
244,WMT,251218.2731724436,-0.20559332183929602,0.022094326234950838,-0.4957304877841615,1641743.0,1530.1924428637346,BULLISH,2025-05-23,2025-05-22
205,SPHR,4650.616130444321,0.1008586546842574,0.015097054476596337,0.6319195901113209,31282.0,1486.674806740081,BULLISH,2025-05-23,2025-05-22
242,WGS,7446.380905752407,3.038124727267035,0.058231506842931095,1.5724859335816022,54005.0,1378.831757384021,BULLISH,2025-05-23,2025-05-22
116,K,5024.201258511597,1.552724709223383,-0.003606034256372703,1.1556779991793253,39510.0,1271.627754622019,BULLISH,2025-05-23,2025-05-22
119,LIN,3627.4673159636986,-0.22024982179248556,0.00922064823913574,0.73351290681488,31050.0,1168.2664463651204,BULLISH,2025-05-23,2025-05-22
164,PG,31278.316509850054,0.6304724830729526,0.005084234652767066,-0.17309083447638018,298406.0,1048.179879420992,BULLISH,2025-05-23,2025-05-22
230,UL,2890.4093087877645,2.8904047114674305,0.0001306813283346896,0.1940922867487799,35608.0,811.7303158806347,BULLISH,2025-05-23,2025-05-22
113,JNJ,33723.428122928795,1.3741302726956355,0.016758747810280195,-1.0880487057638646,419168.0,804.532505413791,BULLISH,2025-05-23,2025-05-22
2,ABBV,25633.322493135325,1.7725875473823411,0.010680380903578738,-0.7073927761115335,328665.0,779.9224892560912,BULLISH,2025-05-23,2025-05-22
153,NVS,4072.854593471872,0.08979292171007872,-0.00018078316850270805,-0.19474948030768635,55111.0,739.0275250806322,BULLISH,2025-05-23,2025-05-22
8,AFRM,30730.441264125297,4.679646609970945,0.02224258119568344,3.7701435554778855,432833.0,709.9837873758538,BULLISH,2025-05-23,2025-05-22
159,PANW,42251.06352421702,0.43352664633061294,0.02084703430526232,1.5252693281907834,612619.0,689.6792871950922,BULLISH,2025-05-23,2025-05-22
27,BLNK,4264.371830739639,6.448922087194729,0.20971685571289056,6.536823526840356,62598.0,681.2313222051247,BULLISH,2025-05-23,2025-05-22
75,ENVX,28957.23490818826,0.533272768894692,0.14781665743965636,1.8451394411340638,438867.0,659.8180065529707,BULLISH,2025-05-23,2025-05-22
260,ZS,13608.340780229646,2.0582444574777514,0.011795839425919292,-0.6437434731091017,227030.0,599.4071611782427,BULLISH,2025-05-23,2025-05-22
161,PATH,17471.14509418815,0.5976812485342098,0.03908971153738838,-0.2991864457839609,328719.0,531.4917937261962,BULLISH,2025-05-23,2025-05-22
29,BP,32754.251955085678,-0.23413526223914577,0.009485828198046086,-0.08702769109480796,623028.0,525.7268044949133,BULLISH,2025-05-23,2025-05-22
23,BHP,4865.37402460582,1.2053804429605781,-0.021923956355101675,0.8268973004182482,94083.0,517.1363609372384,BULLISH,2025-05-23,2025-05-22
184,ROOT,1202.9574523908436,-0.3499367349691116,0.02114781435840844,-0.7835443739206505,26220.0,458.79384149154976,BULLISH,2025-05-23,2025-05-22
93,GSK,4414.720999900641,3.0466844888290483,-0.027934776580398144,0.6097237899895985,109506.0,403.1487772268772,BULLISH,2025-05-23,2025-05-22
